,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,category
0,100 Grand,,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,A
1,3 Musketeers,1.0,0,0,0,1,0,0,1,0,0.60399997,,67.602936,B
2,One dime,0.0,0,0,0,0,0,0,0,0,0.011,0.116,200.0,C
3,One quarter,0.0,0,0,0,0,0,0,0,0,-0.5,0.51099998,46.116505,D
4,Air Heads,0.0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,E
5,Almond Joy,1.0,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,A
6,Baby Ruth,1.0,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,B
7,Boston Baked Beans,0.0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,C
8,Candy Corn,0.0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,D
9,Caramel Apple Pops,0.0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,E
10,Charleston Chew,1.0,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,A
11,Chewey Lemonhead Fruit Mix,0.0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,B
12,Chiclets,0.0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,C
13,Dots,0.0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,D
14,Dum Dums,0.0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,E
15,Fruit Chews,0.0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,A
16,Fun Dip,0.0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,B
17,Gobstopper,0.0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,C
18,Haribo Gold Bears,0.0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,D
19,Haribo Happy Cola,0.0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,E
20,Haribo Sour Bears,0.0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,A
21,Haribo Twin Snakes,0.0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,B
22,HersheyÕs Kisses,1.0,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,C
23,HersheyÕs Krackel,1.0,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,D
24,HersheyÕs Milk Chocolate,1.0,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,E
25,HersheyÕs Special Dark,1.0,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,A
26,Jawbusters,0.0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,B
27,Junior Mints,1.0,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,C
28,Kit Kat,1.0,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,D
29,Laffy Taffy,0.0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,E
30,Lemonhead,0.0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,A
31,Lifesavers big ring gummies,0.0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,B
32,Peanut butter M&MÕs,1.0,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,C
33,M&MÕs,1.0,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,D
34,Mike & Ike,0.0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,E
35,Milk Duds,1.0,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,A
36,Milky Way,1.0,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,B
37,Milky Way Midnight,1.0,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,C
38,Milky Way Simply Caramel,1.0,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,D
39,Mounds,1.0,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,E
40,Mr Good Bar,1.0,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,A
41,Nerds,0.0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,B
42,Nestle Butterfinger,1.0,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,C
43,Nestle Crunch,1.0,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,D
44,Nik L Nip,0.0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,E
45,Now & Later,0.0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,A
46,Payday,0.0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,B
47,Peanut M&Ms,1.0,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,C
48,Pixie Sticks,0.0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,D
49,Pop Rocks,0.0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,E
50,Red vines,0.0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,A
51,ReeseÕs Miniatures,1.0,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,B
52,ReeseÕs Peanut Butter cup,1.0,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,C
53,ReeseÕs pieces,1.0,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,D
54,ReeseÕs stuffed with pieces,1.0,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,E
55,Ring pop,0.0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,A
56,Rolo,1.0,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,B
57,Root Beer Barrels,0.0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,C
58,Runts,0.0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,D
59,Sixlets,1.0,0,0,0,0,0,0,0,1,0.22,0.081,34.722,E
60,Skittles original,0.0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,A
61,Skittles wildberry,0.0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,B
62,Nestle Smarties,1.0,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,C
63,Smarties candy,0.0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,D
64,Snickers,1.0,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,E
65,Snickers Crisper,1.0,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,A
66,Sour Patch Kids,0.0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,B
67,Sour Patch Tricksters,0.0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,C
68,Starburst,0.0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,D
69,Strawberry bon bons,0.0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,E
70,Sugar Babies,0.0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,A
71,Sugar Daddy,0.0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,B
72,Super Bubble,0.0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,C
73,Swedish Fish,0.0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,D
74,Tootsie Pop,1.0,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,E
75,Tootsie Roll Juniors,1.0,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,A
76,Tootsie Roll Midgies,1.0,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,B
77,Tootsie Roll Snack Bars,1.0,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,C
78,Trolli Sour Bites,0.0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,D
79,Twix,1.0,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,E
80,Twizzlers,0.0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,A
81,Warheads,0.0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,B
82,WelchÕs Fruit Snacks,0.0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,C
83,WertherÕs Original Caramel,0.0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,D
84,Whoppers,1.0,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,E
